game_id,date,player_id,player_name,player_team,against,starter,min,pts
202212196.0,2022-12-19,1484.0,Aaron Wiggins,OKC,POR,0.0,25.16666666666667,12.0
202212196.0,2022-12-19,1369.0,Aleksej Pokusevski,OKC,POR,0.0,23.216666666666665,8.0
202212196.0,2022-12-19,1490.0,Kenrich Williams,OKC,POR,0.0,28.61666666666667,12.0
202212196.0,2022-12-19,1231.0,Isaiah Joe,OKC,POR,0.0,23.08333333333333,11.0
202212196.0,2022-12-19,1336.0,Mike Muscala,OKC,POR,0.0,16.3,12.0
202212196.0,2022-12-19,1359.0,Eugene Omoruyi,OKC,POR,0.0,12.15,6.0
202212196.0,2022-12-19,1476.0,Lindy Waters III,OKC,POR,0.0,10.866666666666667,1.0
202212197.0,2022-12-19,1419.0,Pascal Siakam,TOR,PHI,1.0,47.7,38.0
202212197.0,2022-12-19,1457.0,Fred VanVleet,TOR,PHI,1.0,41.05,9.0
202212197.0,2022-12-19,,OG Anunoby,TOR,PHI,1.0,40.45,13.0
202212197.0,2022-12-19,1030.0,Scottie Barnes,TOR,PHI,1.0,29.766666666666666,6.0
202212197.0,2022-12-19,,Juancho Hernangómez,TOR,PHI,1.0,14.316666666666665,7.0
202212197.0,2022-12-19,1053.0,Chris Boucher,TOR,PHI,0.0,30.36666666666667,13.0
202212197.0,2022-12-19,1043.0,Khem Birch,TOR,PHI,0.0,23.03333333333333,2.0
202212197.0,2022-12-19,1503.0,Thaddeus Young,TOR,PHI,0.0,19.4,8.0
202212197.0,2022-12-19,1139.0,Malachi Flynn,TOR,PHI,0.0,18.916666666666668,5.0
202212197.0,2022-12-19,1189.0,Tobias Harris,PHI,TOR,0.0,42.21666666666667,21.0
202212197.0,2022-12-19,1135.0,Joel Embiid,PHI,TOR,0.0,42.11666666666667,28.0
202212197.0,2022-12-19,1182.0,James Harden,PHI,TOR,0.0,41.93333333333333,14.0
202212197.0,2022-12-19,1314.0,De'Anthony Melton,PHI,TOR,0.0,41.05,8.0
202212197.0,2022-12-19,1454.0,P.J. Tucker,PHI,TOR,0.0,39.4,5.0
202212197.0,2022-12-19,1318.0,Shake Milton,PHI,TOR,0.0,18.58333333333333,4.0
202212197.0,2022-12-19,1342.0,Georges Niang,PHI,TOR,0.0,11.466666666666667,5.0
202212197.0,2022-12-19,1185.0,Montrezl Harrell,PHI,TOR,0.0,10.883333333333333,7.0
202212197.0,2022-12-19,1211.0,Danuel House Jr.,PHI,TOR,0.0,10.55,9.0
202212197.0,2022-12-19,1447.0,Matisse Thybulle,PHI,TOR,0.0,6.8,3.0
202212198.0,2022-12-19,1469.0,Lonnie Walker IV,LAL,PHX,1.0,30.18333333333333,16.0
202212198.0,2022-12-19,,Dennis Schröder,LAL,PHX,1.0,29.18333333333333,30.0
202212198.0,2022-12-19,1069.0,Thomas Bryant,LAL,PHX,1.0,26.5,16.0
202212198.0,2022-12-19,1041.0,Patrick Beverley,LAL,PHX,1.0,23.15,9.0
202212198.0,2022-12-19,1067.0,Troy Brown Jr.,LAL,PHX,1.0,21.016666666666666,3.0
202212198.0,2022-12-19,1086.0,Max Christie,LAL,PHX,0.0,27.05,2.0
202212198.0,2022-12-19,1147.0,Wenyen Gabriel,LAL,PHX,0.0,26.98333333333333,4.0
202212198.0,2022-12-19,1239.0,Damian Jones,LAL,PHX,0.0,21.5,3.0
202212198.0,2022-12-19,1348.0,Kendrick Nunn,LAL,PHX,0.0,19.933333333333334,17.0
202212198.0,2022-12-19,1366.0,Scotty Pippen Jr.,LAL,PHX,0.0,14.5,4.0
202212198.0,2022-12-19,1273.0,Damion Lee,PHX,LAL,0.0,37.6,15.0
202212198.0,2022-12-19,1362.0,Chris Paul,PHX,LAL,0.0,31.48333333333333,28.0
202212198.0,2022-12-19,1097.0,Torrey Craig,PHX,LAL,0.0,31.05,17.0
202212198.0,2022-12-19,1058.0,Mikal Bridges,PHX,LAL,0.0,30.43333333333333,20.0
202212198.0,2022-12-19,1017.0,Deandre Ayton,PHX,LAL,0.0,25.86666666666667,21.0
202212198.0,2022-12-19,1416.0,Landry Shamet,PHX,LAL,0.0,29.43333333333333,13.0
202212198.0,2022-12-19,1466.0,Ish Wainright,PHX,LAL,0.0,22.13333333333333,8.0
202212198.0,2022-12-19,1045.0,Bismack Biyombo,PHX,LAL,0.0,17.416666666666668,0.0
202212198.0,2022-12-19,1353.0,Josh Okogie,PHX,LAL,0.0,9.866666666666667,3.0
202212198.0,2022-12-19,,Dario Šarić,PHX,LAL,0.0,4.716666666666667,5.0
202212199.0,2022-12-19,1361.0,Kelly Oubre Jr.,CHA,SAC,1.0,38.45,31.0
202212199.0,2022-12-19,1196.0,Gordon Hayward,CHA,SAC,1.0,36.71666666666667,19.0
202212199.0,2022-12-19,1472.0,P.J. Washington,CHA,SAC,1.0,29.05,3.0
202212199.0,2022-12-19,1022.0,LaMelo Ball,CHA,SAC,1.0,27.466666666666665,23.0
