player,player_id,team,number,position
Kyle Kuzma,1265,WAS,33.0,F
Jake LaRavia,1266,MEM,3.0,F
Zach LaVine,1267,CHI,8.0,G-F
Anthony Lamb,1268,GSW,40.0,F
Jock Landale,1269,PHX,11.0,C
Romeo Langford,1270,SAS,35.0,G-F
A.J. Lawson,1271,,,G
Caris LeVert,1272,CLE,3.0,G
Damion Lee,1273,PHX,10.0,G-F
Saben Lee,1274,PHI,9.0,G
Alex Len,1275,SAC,25.0,C
Kawhi Leonard,1276,LAC,2.0,F
Kira Lewis Jr.,1277,NOP,13.0,G
E.J. Liddell,1278,NOP,,F
Damian Lillard,1279,POR,0.0,G
Nassir Little,1280,POR,10.0,F-G
Isaiah Livers,1281,DET,12.0,F
Kenneth Lofton Jr.,1282,MEM,6.0,F
Kevon Looney,1283,GSW,5.0,F
Brook Lopez,1284,MIL,11.0,C
Robin Lopez,1285,CLE,33.0,C
Kevin Love,1286,CLE,0.0,F-C
Kyle Lowry,1287,MIA,7.0,G
Trey Lyles,1288,SAC,41.0,F
Theo Maledon,1289,CHA,9.0,G
Sandro Mamukelashvili,1290,MIL,54.0,F-C
Terance Mann,1291,LAC,14.0,G-F
Tre Mann,1292,OKC,23.0,G
Boban Marjanovic,1293,HOU,51.0,C
Lauri Markkanen,1294,UTA,23.0,F-C
Naji Marshall,1295,NOP,8.0,F
Caleb Martin,1296,MIA,16.0,F
Cody Martin,1297,CHA,11.0,F
Tyrese Martin,1298,ATL,22.0,G
Kenyon Martin Jr.,1299,HOU,6.0,F
Garrison Mathews,1300,HOU,25.0,G
Bennedict Mathurin,1301,IND,0.0,G-F
Wesley Matthews,1302,MIL,23.0,G
Tyrese Maxey,1303,PHI,0.0,G
Miles McBride,1304,NYK,2.0,G
CJ McCollum,1305,NOP,3.0,G
T.J. McConnell,1306,IND,9.0,G
Jaden McDaniels,1307,MIN,3.0,F
Jalen McDaniels,1308,CHA,6.0,F-C
Doug McDermott,1309,SAS,17.0,F
JaVale McGee,1310,DAL,0.0,C-F
Bryce McGowens,1311,CHA,7.0,G
Rodney McGruder,1312,DET,17.0,G
Jordan McLaughlin,1313,MIN,6.0,G
De'Anthony Melton,1314,PHI,8.0,G
Chimezie Metu,1315,SAC,7.0,F-C
Khris Middleton,1316,MIL,22.0,F
Patty Mills,1317,BKN,8.0,G
Shake Milton,1318,PHI,18.0,G-F
Josh Minott,1319,MIN,8.0,F
Davion Mitchell,1320,SAC,15.0,G
Donovan Mitchell,1321,CLE,45.0,G
Evan Mobley,1322,CLE,4.0,C
Isaiah Mobley,1323,CLE,15.0,F
Chima Moneke,1324,SAC,19.0,F
Malik Monk,1325,SAC,0.0,G
Moses Moody,1326,GSW,4.0,G
Wendell Moore Jr.,1327,MIN,7.0,G
Ja Morant,1328,MEM,12.0,G
Markieff Morris,1329,BKN,13.0,F
Monte Morris,1330,WAS,22.0,G
Marcus Morris,1331,LAC,8.0,F
Trey Murphy III,1332,NOP,25.0,F
Dejounte Murray,1333,ATL,5.0,G
Jamal Murray,1334,DEN,27.0,G
Keegan Murray,1335,SAC,13.0,F
Mike Muscala,1336,OKC,33.0,F-C
Svi Mykhailiuk,1337,NYK,17.0,G-F
Larry Nance Jr.,1338,NOP,22.0,F-C
Andrew Nembhard,1339,IND,2.0,G-F
Aaron Nesmith,1340,IND,23.0,G-F
Raul Neto,1341,CLE,19.0,G
Georges Niang,1342,PHI,20.0,F
Daishen Nix,1343,HOU,15.0,G
Zeke Nnaji,1344,DEN,22.0,F-C
Nerlens Noel,1345,DET,3.0,C-F
Jaylen Nowell,1346,MIN,4.0,G
Frank Ntilikina,1347,DAL,21.0,G
Kendrick Nunn,1348,LAL,12.0,G
Jusuf Nurkić,1349,POR,27.0,C
Jordan Nwora,1350,MIL,13.0,F
Royce O'Neale,1351,BKN,0.0,F
Chuma Okeke,1352,ORL,3.0,F
Josh Okogie,1353,PHX,2.0,G
Onyeka Okongwu,1354,ATL,17.0,F-C
Isaac Okoro,1355,CLE,35.0,F-G
KZ Okpala,1356,SAC,30.0,F-G
Victor Oladipo,1357,MIA,4.0,G
Kelly Olynyk,1358,UTA,41.0,F-C
Eugene Omoruyi,1359,OKC,97.0,F
Cedi Osman,1360,CLE,16.0,F
Kelly Oubre Jr.,1361,CHA,12.0,F-G
Chris Paul,1362,PHX,3.0,G
Cameron Payne,1363,PHX,15.0,G
Gary Payton II,1364,POR,0.0,G
Theo Pinson,1365,DAL,1.0,G-F
Scotty Pippen Jr.,1366,LAL,14.0,G
Mason Plumlee,1367,CHA,24.0,F-C
Jakob Poeltl,1368,SAS,25.0,C
Aleksej Pokusevski,1369,OKC,17.0,F
Jordan Poole,1370,GSW,3.0,G
Kevin Porter Jr.,1371,HOU,3.0,G-F
Michael Porter Jr.,1372,DEN,1.0,F
Otto Porter Jr.,1373,TOR,32.0,F
Bobby Portis,1374,MIL,9.0,F
Kristaps Porziņģis,1375,WAS,6.0,F-C
Micah Potter,1376,UTA,25.0,C
Dwight Powell,1377,DAL,7.0,F-C
Norman Powell,1378,LAC,24.0,G
Jason Preston,1379,LAC,17.0,G
Joshua Primo,1380,,,G
Taurean Prince,1381,MIN,12.0,F
Payton Pritchard,1382,BOS,11.0,G
Trevelin Queen,1383,IND,8.0,G
Neemias Queta,1384,SAC,88.0,C
Immanuel Quickley,1385,NYK,5.0,G
Julius Randle,1386,NYK,30.0,F-C
Austin Reaves,1387,LAL,15.0,G
Cam Reddish,1388,NYK,0.0,F-G
Davon Reed,1389,DEN,9.0,G
Paul Reed,1390,PHI,44.0,F
Naz Reid,1391,MIN,11.0,C-F
Nick Richards,1392,CHA,4.0,C
Josh Richardson,1393,SAS,7.0,G
Austin Rivers,1394,MIN,25.0,G
Duncan Robinson,1395,MIA,55.0,F
Mitchell Robinson,1396,NYK,23.0,C-F
Orlando Robinson,1397,,,C
Jeremiah Robinson-Earl,1398,OKC,50.0,F
Isaiah Roby,1399,SAS,18.0,F
David Roddy,1400,MEM,27.0,F
Ryan Rollins,1401,GSW,2.0,G
Derrick Rose,1402,NYK,4.0,G
Terrence Ross,1403,ORL,31.0,G-F
Terry Rozier,1404,CHA,3.0,G
Ricky Rubio,1405,CLE,13.0,G
D'Angelo Russell,1406,MIN,0.0,G
Matt Ryan,1407,MIN,37.0,F
Domantas Sabonis,1408,SAC,10.0,F-C
Dario Saric,1409,PHX,20.0,F-C
Jordan Schakel,1410,,,G
Admiral Schofield,1411,ORL,25.0,F
Dennis Schröder,1412,LAL,17.0,G
Dereon Seabron,1413,NOP,0.0,G
Alperen Şengün,1414,HOU,28.0,C
Collin Sexton,1415,UTA,2.0,G
Landry Shamet,1416,PHX,14.0,G
Day'Ron Sharpe,1417,BKN,20.0,C
Shaedon Sharpe,1418,POR,17.0,G
Pascal Siakam,1419,TOR,43.0,F
Ben Simmons,1420,BKN,10.0,G-F
Marko Simonovic,1421,CHI,19.0,C
Anfernee Simons,1422,POR,1.0,G
Jericho Sims,1423,NYK,45.0,C
Marcus Smart,1424,BOS,36.0,G
Dru Smith,1425,MIA,9.0,G
Ish Smith,1426,DEN,14.0,G
Jalen Smith,1427,IND,25.0,F-C
Dennis Smith Jr.,1428,CHA,8.0,G
Jabari Smith Jr.,1429,HOU,1.0,F
Jeremy Sochan,1430,SAS,10.0,F
Jaden Springer,1431,PHI,11.0,G
Lamar Stevens,1432,CLE,8.0,F
Isaiah Stewart,1433,DET,28.0,F-C
Max Strus,1434,MIA,31.0,G-F
Jalen Suggs,1435,ORL,4.0,G
Edmond Sumner,1436,BKN,4.0,G
Cole Swider,1437,LAL,20.0,F
Jae'Sean Tate,1438,HOU,8.0,F
Jayson Tatum,1439,BOS,0.0,F-G
Terry Taylor,1440,IND,21.0,F
Garrett Temple,1441,NOP,41.0,G-F
Dalen Terry,1442,CHI,25.0,F
Daniel Theis,1443,IND,27.0,F-C
Cam Thomas,1444,BKN,24.0,G
Klay Thompson,1445,GSW,11.0,G
JT Thor,1446,CHA,21.0,F
Matisse Thybulle,1447,PHI,22.0,G-F
Xavier Tillman,1448,MEM,2.0,F
Isaiah Todd,1449,WAS,14.0,F
Obi Toppin,1450,NYK,1.0,F
Juan Toscano-Anderson,1451,LAL,95.0,F
Karl-Anthony Towns,1452,MIN,32.0,C-F
Gary Trent Jr.,1453,TOR,33.0,G-F
P.J. Tucker,1454,PHI,17.0,F
Myles Turner,1455,IND,33.0,C-F
Jonas Valančiūnas,1456,NOP,17.0,C
Fred VanVleet,1457,TOR,23.0,G
Jarred Vanderbilt,1458,UTA,8.0,F
Devin Vassell,1459,SAS,24.0,G-F
Gabe Vincent,1460,MIA,2.0,G
Noah Vonleh,1461,BOS,4.0,F
Nikola Vučević,1462,CHI,9.0,C
Dean Wade,1463,CLE,32.0,F-C
Franz Wagner,1464,ORL,22.0,F
Moritz Wagner,1465,ORL,21.0,F-C
Ish Wainright,1466,PHX,12.0,F
Jabari Walker,1467,POR,34.0,F
Kemba Walker,1468,DAL,8.0,G
Lonnie Walker IV,1469,LAL,4.0,G-F
John Wall,1470,LAC,11.0,G
T.J. Warren,1471,BKN,1.0,F
P.J. Washington,1472,CHA,25.0,F
Duane Washington Jr.,1473,PHX,4.0,G
TyTy Washington Jr.,1474,HOU,0.0,G
Yuta Watanabe,1475,BKN,18.0,G-F
Lindy Waters III,1476,OKC,12.0,F
Trendon Watford,1477,POR,2.0,F
Peyton Watson,1478,DEN,8.0,G
Blake Wesley,1479,SAS,14.0,G
Russell Westbrook,1480,LAL,0.0,G
Coby White,1481,CHI,0.0,G
Derrick White,1482,BOS,9.0,G
Jack White,1483,DEN,10.0,F
Aaron Wiggins,1484,OKC,21.0,G
Andrew Wiggins,1485,GSW,22.0,F
Alondes Williams,1486,BKN,31.0,G
Grant Williams,1487,BOS,12.0,F
Jalen Williams,1488,OKC,8.0,G-F
Jaylin Williams,1489,OKC,6.0,F
Kenrich Williams,1490,OKC,34.0,G-F
Mark Williams,1491,CHA,5.0,C
Patrick Williams,1492,CHI,44.0,F
Ziaire Williams,1493,MEM,8.0,F
Robert Williams III,1494,BOS,44.0,C-F
Vince Williams Jr.,1495,MEM,5.0,G
Zion Williamson,1496,NOP,1.0,F
Dylan Windler,1497,CLE,9.0,G-F
Justise Winslow,1498,POR,26.0,F-G
James Wiseman,1499,GSW,33.0,C
Christian Wood,1500,DAL,35.0,F
Delon Wright,1501,WAS,55.0,G
McKinley Wright IV,1502,DAL,25.0,G
Thaddeus Young,1503,TOR,21.0,F
Trae Young,1504,ATL,11.0,G
Omer Yurtseven,1505,MIA,77.0,C
Ivica Zubac,1506,LAC,40.0,C
